Spring op,Budapest,1989.??.??,?,"Andrianov, Nikolai","Almasi, Zoltan",,,A44,"[['d4', 'c5'], ['d5', 'e5'], ['e4', 'd6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'Ne7'], ['h4', 'h5'], ['Bh3', 'Nd7'], ['Nf3', 'Nf6\n'], ['Bxc8', 'Qxc8'], ['Ng5', 'Qd7'], ['Be3', 'Ng4'], ['Bd2', 'Bh6'], ['Qe2', 'Nf6'], ['f3', 'Nh7'], ['Rb1', 'Nf8\n'], ['b4', 'cxb4'], ['Rxb4', 'f6'], ['Ne6', 'Bxd2+'], ['Qxd2', 'Kf7'], ['O-O', 'b6'], ['Nb5', 'Nxe6'], ['dxe6+', 'Kxe6\n'], ['Rd1', 'Rad8'], ['a4', 'Nc6'], ['Qd5+', 'Ke7'], ['Rb2', 'a6'], ['Nc3', 'Rb8'], ['Kg2', 'Nd4'], ['Rdb1', 'Qa7\n'], ['a5', 'b5'], ['cxb5', 'Rhc8'], ['bxa6', 'Rxb2+'], ['Rxb2', 'Qxa6'], ['Rb7+', '']]",1-0
Honved,Budapest,1991.??.??,?,"Almasi, Zoltan","Schlosser, Philipp",,,B82,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'e6'], ['Qf3', 'Nbd7'], ['Bd3', 'Nc5\n'], ['g4', 'b5'], ['g5', 'Nfd7'], ['a3', 'Bb7'], ['Be3', 'g6'], ['h4', 'e5'], ['Nde2', 'exf4'], ['Bxf4', 'Bg7\n'], ['Bxd6', 'Ne5'], ['Bxe5', 'Bxe5'], ['O-O-O', 'O-O'], ['Kb1', 'Qe7'], ['Qh3', 'Rab8'], ['h5', 'Bc6'], ['Nd5', 'Bxd5\n'], ['exd5', 'Rfd8'], ['hxg6', 'fxg6'], ['b4', 'Na4'], ['Qe6+', 'Qxe6'], ['dxe6', 'Nb2'], ['Rde1', 'Nxd3\n'], ['cxd3', 'Rxd3'], ['Nc1', 'Rd5'], ['Rd1', 'Rxd1'], ['Rxd1', 'Re8'], ['Nd3', 'Bd6'], ['Re1', 'Be7'], ['Re5', 'Kf8\n'], ['Nc5', 'Bxc5'], ['bxc5', 'Ke7'], ['Kc2', 'Rf8'], ['Kc3', 'Rf4'], ['Rd5', 'Rc4+'], ['Kb3', 'Kxe6'], ['Rd6+', 'Kf5\n'], ['Rxa6', 'Rxc5'], ['Kb4', 'Rc7'], ['Ra5', 'Kxg5'], ['a4', 'h5'], ['axb5', 'Kf4'], ['b6', 'Rc8'], ['Kb5', 'g5\n'], ['b7', 'Rb8'], ['Ra4+', 'Kg3'], ['Ra3+', 'Kh4'], ['Kc6', 'g4'], ['Ra8', 'Rxb7'], ['Kxb7', 'g3'], ['Rg8', 'Kh3\n'], ['Kc6', 'h4'], ['Kd5', 'Kg2'], ['Ke4', 'Kf2'], ['Rf8+', 'Kg1'], ['Kf3', 'g2'], ['Rg8', 'h3'], ['Rg7', 'Kh1\n'], ['Kf2', 'h2'], ['Rxg2', '']]",1/2-1/2
Cansys IM-A,Budapest,1991.??.??,1,"Budnikov, Alexandar","Almasi, Zoltan",,,E05,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'Be7'], ['Nf3', 'O-O'], ['O-O', 'dxc4'], ['Qc2', 'a6'], ['Qxc4', 'b5\n'], ['Qc2', 'Bb7'], ['Bd2', 'Nc6'], ['e3', 'Nb4'], ['Bxb4', 'Bxb4'], ['a3', 'Bd6'], ['Nbd2', 'Rc8'], ['e4', 'Be7\n'], ['e5', 'Nd7'], ['b4', 'a5'], ['Nb3', 'axb4'], ['Ng5', 'Bxg5'], ['Bxb7', 'Rb8'], ['Na5', 'c5'], ['Nc6', 'Qb6\n'], ['Nxb8', 'Rxb8'], ['Be4', 'cxd4'], ['axb4', 'Be7'], ['Rab1', 'Nxe5'], ['Bxh7+', 'Kf8'], ['Be4', 'Nc4\n'], ['Qe2', 'Qd6'], ['Rfe1', 'g6'], ['Rec1', 'Ne5'], ['Rc5', 'd3'], ['Qe3', 'Kg7'], ['Bxd3', 'Nxd3'], ['Rd1', 'Rd8\n'], ['Rc3', 'Qe5'], ['Rdxd3', 'Qxe3'], ['Rxe3', 'Bxb4'], ['Rc7', 'Bd6'], ['Rb7', 'b4'], ['Rd3', 'e5'], ['Rxb4', 'Bxb4\n'], ['Rxd8', 'Bc3'], ['Rd6', 'Kh6'], ['f3', 'Kg5'], ['Kf2', 'Bd4+'], ['Ke2', 'Bg1'], ['Rd1', 'Bb6'], ['Kd3', 'Bd4\n'], ['Ke4', 'f5+'], ['Kd5', 'Bc3'], ['Rd3', 'Bb2'], ['Ke6', 'Ba1'], ['Re3', 'Bd4'], ['Rxe5', '']]",1-0
Honved,Budapest,1991.??.??,1,"Csom, Istvan","Almasi, Zoltan",,,A30,"[['c4', 'c5'], ['Nf3', 'Nc6'], ['b3', 'Nf6'], ['Bb2', 'g6'], ['Nc3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd5'], ['Nxd5', 'Nxd5\n'], ['Bxg7', 'Kxg7'], ['cxd5', 'Qxd5'], ['O-O', 'Bg4'], ['Rc1', 'Rac8'], ['Rc4', 'Bxf3'], ['Bxf3', 'Qd6'], ['Qa1+', 'f6\n'], ['Bxc6', 'Rxc6'], ['d3', 'Rfc8'], ['Rfc1', 'Qd5'], ['R1c2', 'b5'], ['Re4', 'R8c7'], ['Qc1', 'Qd6'], ['Qe3', 'e5\n'], ['f4', 'Re7'], ['Kf2', 'Kf7'], ['fxe5', 'Rxe5'], ['Rxe5', 'Qxe5'], ['b4', 'Qxe3+'], ['Kxe3', 'Re6+'], ['Kd2', 'cxb4\n'], ['Rc7+', 'Re7'], ['Rc6', 'Re6']]",1/2-1/2
Autoteam,Budapest,1991.??.??,1,"Almasi, Zoltan","Sinkovics, Peter",,,C95,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Nb8'], ['d4', 'Nbd7'], ['Nbd2', 'Bb7'], ['Bc2', 'Re8'], ['Nf1', 'Bf8'], ['Ng3', 'g6'], ['a4', 'c6\n'], ['Nh2', 'Nb6'], ['axb5', 'axb5'], ['Rxa8', 'Qxa8'], ['Bg5', 'Be7'], ['f4', 'Nc4'], ['fxe5', 'dxe5'], ['Qf3', 'Nd7\n'], ['Bc1', 'Qa7'], ['Rf1', 'f6'], ['Qf2', 'Kg7'], ['Ng4', 'h5'], ['Ne3', 'Nxe3'], ['Bxe3', 'Qa2'], ['Bb1', 'Qb3\n'], ['h4', 'Ra8'], ['Nf5+', 'gxf5'], ['Qxf5', 'Bc8'], ['d5', 'Qc4'], ['Qxh5', 'Bc5'], ['Qh6+', 'Kf7'], ['Qh7+', 'Ke8\n'], ['Qg8+', 'Ke7'], ['Bxc5+', 'Qxc5+'], ['Kh2', 'Bb7'], ['Qe6+', 'Kd8'], ['d6', '']]",1-0
Spring op,Budapest,1991.??.??,2,"Kovacs, Janos","Almasi, Zoltan",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['b3', 'Bb4+'], ['Bd2', 'Be7'], ['Bg2', 'c6'], ['Nc3', 'd5\n'], ['cxd5', 'cxd5'], ['Ne5', 'Nfd7'], ['Nxd7', 'Nxd7'], ['O-O', 'O-O'], ['Re1', 'Rc8'], ['e4', 'dxe4'], ['Nxe4', 'Nf6\n'], ['Nxf6+', 'Bxf6'], ['Be3', 'Qd7'], ['Qg4', 'Bb7'], ['Be4', 'Rfd8'], ['Rad1', 'Bd5'], ['f3', 'Rc3'], ['Kf2', 'Rdc8\n'], ['Re2', 'g6'], ['h4', 'Bg7'], ['Qf4', 'Bxe4'], ['Qxe4', 'e5'], ['d5', 'Qh3'], ['Rg1', 'f5'], ['Qa4', 'f4\n'], ['gxf4', 'Qxh4+'], ['Kg2', 'Rxe3']]",1-0
Cansys IM-A,Budapest,1991.??.??,2,"Almasi, Zoltan","Schwarz, Michael",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['h4', 'h5'], ['c4', 'e6'], ['Nc3', 'Be7'], ['Nf3', 'Bg4'], ['Qb3', 'Qb6'], ['cxd5', 'Bxf3\n'], ['Qxb6', 'axb6'], ['gxf3', 'cxd5'], ['Bb5+', 'Nc6'], ['Na4', 'Ra5'], ['Bxc6+', 'bxc6'], ['Nxb6', 'Ra6\n'], ['Nc8', 'Bf8'], ['Nd6+', 'Bxd6'], ['exd6', 'Kd7'], ['Rg1', 'g6'], ['Bf4', 'Nh6'], ['Bxh6', 'Rxh6'], ['Kd2', 'Rh8\n'], ['Rgc1', 'Kxd6'], ['f4', 'Rha8'], ['a3', 'Ra4'], ['Kc3', 'c5'], ['dxc5+', 'Kc6'], ['b4', 'Rxa3+'], ['Kb2', 'R3a4\n'], ['Rxa4', 'Rxa4'], ['Kc3', 'Ra3+'], ['Kb2', 'Ra4'], ['Kc3', 'Kb5'], ['Rb1', 'Ra2'], ['Rb2', 'd4+'], ['Kc2', 'd3+\n'], ['Kc3', 'Ra3+'], ['Kd4', 'f6'], ['Ke4', 'Rc3'], ['Ke3', 'f5'], ['Kd2', 'Rc4'], ['Kxd3', 'Rxf4'], ['Re2', 'Rxb4\n'], ['Rxe6', '']]",1/2-1/2
Autoteam,Budapest,1991.??.??,2,"Loginov, Valery A","Almasi, Zoltan",,,A11,"[['Nf3', 'Nf6'], ['g3', 'd5'], ['Bg2', 'Bf5'], ['c4', 'c6'], ['cxd5', 'cxd5'], ['Qb3', 'Qd7'], ['Ne5', 'Qc7'], ['Nc3', 'Nc6\n'], ['Nxc6', 'bxc6'], ['O-O', 'Rb8'], ['Qa4', 'e6'], ['d3', 'Qd7'], ['Qc2', 'Bg6'], ['Na4', 'Bd6'], ['Be3', 'O-O\n'], ['Rac1', 'Rfc8'], ['Bc5', 'Qe7'], ['b3', 'Bxc5'], ['Qxc5', 'Kf8'], ['Rc3', 'Qxc5'], ['Nxc5', 'Ke7'], ['Rfc1', 'Nd7\n'], ['e4', 'Nxc5'], ['Rxc5', 'Kd7'], ['f4', 'f5'], ['Kf2', 'Bf7'], ['Ke3', 'Kd6'], ['Bh3', 'g6'], ['g4', 'fxg4\n'], ['Bxg4', 'Rc7'], ['R1c3', 'Rb4'], ['d4', 'Rb8'], ['a3', 'Rb6'], ['b4', 'Be8'], ['e5+', 'Ke7'], ['Kf2', 'Rcb7\n'], ['Rh3', 'h5'], ['Be2', 'Kd8'], ['Bd3', 'Rg7'], ['Rg3', 'Rbb7'], ['Ke3', 'Rg8'], ['Rg5', 'Ke7'], ['f5', 'exf5\n'], ['Bxf5', 'Rb5'], ['Rc1', 'Rb6'], ['Bd3', 'Rb7'], ['Rcg1', 'Kd8'], ['h4', 'Rbg7'], ['Be2', 'Rh7'], ['Rxh5', 'Rb7\n'], ['Bd3', 'a5'], ['bxa5', 'Rb3'], ['Rh7', 'Rxa3'], ['Rb1', 'Kc8'], ['Rbb7', '']]",1-0
Honved,Budapest,1991.??.??,3,"Horvath, Zoltan","Almasi, Zoltan",,,C85,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Bxc6', 'dxc6'], ['d3', 'Nd7'], ['Nbd2', 'O-O\n'], ['Nc4', 'f6'], ['Nh4', 'g6'], ['Bh6', 'Rf7'], ['f4', 'exf4'], ['Rxf4', 'Nc5'], ['Kh1', 'Bf8'], ['Bxf8', 'Qxf8\n'], ['Rf2', 'Be6'], ['Na5', 'Qh6'], ['Nf3', 'Rd8'], ['Qe1', 'Bc8'], ['Qb4', 'Qh5'], ['Raf1', 'Rff8']]",1/2-1/2
Autoteam,Budapest,1991.??.??,3,"Almasi, Zoltan","Teske, Henrik",,,B47,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'Qc7'], ['g3', 'a6'], ['Bg2', 'd6'], ['O-O', 'Bd7\n'], ['Re1', 'Be7'], ['Nxc6', 'Bxc6'], ['a4', 'Nf6'], ['a5', 'O-O'], ['Bf4', 'Rad8'], ['g4', 'Rfe8'], ['g5', 'Nd7\n'], ['Be3', 'Bf8'], ['Kh1', 'Nc5'], ['b4', 'Nd7'], ['Qe2', 'Rc8'], ['b5', 'axb5'], ['Nxb5', 'Bxb5'], ['Qxb5', 'Ne5\n'], ['Reb1', 'Re7'], ['f4', 'Nc4'], ['Bg1', 'g6'], ['Ra2', 'Qd8'], ['Rb3', 'Rec7'], ['Rg3', 'Bg7'], ['h4', 'h6\n'], ['Kh2', 'd5'], ['exd5', 'e5'], ['f5', 'Nd6'], ['Qe2', 'Nxf5'], ['Rg4', 'Rc3'], ['Bb6', 'Qd6'], ['Be4', 'Nd4\n'], ['Qg2', 'Nf3+'], ['Kh1', 'h5'], ['Rg3', 'Nxh4'], ['Qh3', 'Qb4'], ['Qxh4', 'Rxg3'], ['Qxg3', 'Qxe4+'], ['Qg2', 'Qh4+\n'], ['Qh2', 'Qc4']]",0-1
Schneider mem op,Budapest,1991.??.??,3,"Videki, Sandor","Almasi, Zoltan",,,B14,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['e3', 'e6'], ['d4', 'cxd4'], ['exd4', 'd5'], ['c5', 'Be7'], ['Bb5', 'O-O\n'], ['O-O', 'Bd7'], ['Re1', 'Rc8'], ['Bf4', 'b6'], ['Ba6', 'bxc5'], ['Bxc8', 'Bxc8'], ['dxc5', 'Bxc5'], ['Rc1', 'Bb7\n'], ['Qb3', 'Bb6'], ['Na4', 'Ne4'], ['Nxb6', 'axb6'], ['Rc2', 'Ba8'], ['Qb5', 'Qf6'], ['Bc7', 'g5'], ['h3', 'h5\n'], ['Qxb6', 'Qf5'], ['Rec1', 'g4'], ['hxg4', 'hxg4'], ['Nd2', 'Nb4'], ['Nxe4', 'Nxc2'], ['Ng3', 'Qd3'], ['Bd6', 'Rc8\n'], ['Qa5', 'Qd4'], ['Nf1', 'Qxb2'], ['Qd2', 'Qc3'], ['Qxc3', 'Rxc3'], ['Ne3', 'Nd4'], ['Rb1', 'Nc6'], ['Nxg4', 'd4\n'], ['Ne5', 'd3'], ['Rd1', 'Nxe5'], ['Bxe5', 'Ra3'], ['Bb2', 'Rxa2'], ['Rxd3', 'Rxb2']]",1/2-1/2
Spring op,Budapest,1991.??.??,3,"Almasi, Zoltan","Timoshenko, Georgy",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['c3', 'd6\n'], ['h3', 'Nd7'], ['d4', 'Bf6'], ['Be3', 'Na5'], ['Bc2', 'Nc4'], ['Bc1', 'Bb7'], ['a4', 'exd4'], ['cxd4', 'c5\n'], ['axb5', 'axb5'], ['Rxa8', 'Qxa8'], ['dxc5', 'Nxc5'], ['b3', 'Ne5'], ['Nxe5', 'Bxe5'], ['f3', 'Ne6'], ['Be3', 'Qd8\n'], ['Nd2', 'Nf4'], ['Nf1', 'g6'], ['Bd3', 'Bc6'], ['Qc2', 'Bd7'], ['Rd1', 'Qf6'], ['Bxf4', 'Bxf4'], ['Qe2', 'Qg5\n'], ['h4', 'Qc5+'], ['Kh1', 'Ra8'], ['g3', 'Be5'], ['Kg2', 'Ra3'], ['f4', 'Bd4'], ['Qc2', 'Qa7'], ['Rd2', 'Qb7\n'], ['Bxb5', 'Bxb5'], ['Rxd4', 'Bxf1+'], ['Kxf1', 'Rxb3'], ['Rxd6', 'Qb5+'], ['Kg1', 'Rxg3+'], ['Kh2', 'Re3\n'], ['Rd2', 'Qf1'], ['Qc8+', 'Kg7'], ['Qg4', 'h5']]",0-1
Cansys IM-A,Budapest,1991.??.??,3,"Arsovic, Zoran","Almasi, Zoltan",,,A30,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'g6'], ['Nc3', 'Bg7'], ['d4', 'cxd4'], ['Qxd4', 'd6\n'], ['Be3', 'Nbd7'], ['Rac1', 'Rc8'], ['b3', 'O-O'], ['Qh4', 'a6'], ['Rfd1', 'Re8'], ['Bh3', 'Rc7'], ['Bh6', 'Rc5\n'], ['Ng5', 'b5'], ['Nd5', 'Bxd5'], ['cxd5', 'Rxc1'], ['Rxc1', 'Bxh6'], ['Qxh6', 'Nf8'], ['b4', 'Qb6'], ['Rd1', 'a5\n'], ['Qh4', 'axb4'], ['Qxb4', 'Ra8'], ['Qb3', 'Qa5'], ['Bg2', 'N8d7'], ['Qe3', 'Kf8'], ['Bh3', 'Ne5'], ['Qd4', 'Qxa2\n'], ['f4', 'Ra4'], ['Qc3', 'Qxe2'], ['Re1', 'Qc4'], ['Rc1', 'Qxc3'], ['Rxc3', 'Nc4'], ['Bf1', 'h6'], ['Nf3', 'Nxd5\n'], ['Rb3', 'Nc7'], ['Kf2', 'd5'], ['Be2', 'b4'], ['Nd4', 'Na6'], ['Nc2', 'e6'], ['Rb1', 'Ke7'], ['Ne3', 'Nxe3\n'], ['Kxe3', 'Nc5'], ['Kd4', 'Kd6'], ['Bb5', 'Ra3']]",0-1
Schneider mem op,Budapest,1991.??.??,4,"Almasi, Zoltan","Stajcic, Nikola",,,C16,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Qd7'], ['a3', 'Bxc3+'], ['bxc3', 'b6'], ['Nf3', 'Ne7'], ['Bd3', 'Ba6\n'], ['Bxa6', 'Nxa6'], ['Qd3', 'Nb8'], ['O-O', 'Nbc6'], ['c4', 'dxc4'], ['Qxc4', 'Na5'], ['Qd3', 'Qd5'], ['Rb1', 'Rc8\n'], ['Be3', 'Nc4'], ['Ng5', 'h6'], ['Ne4', 'Qc6'], ['Rb4', 'Na5'], ['c4', 'Qd7'], ['Rb2', 'Rd8'], ['Rd1', 'Nf5\n'], ['d5', 'Nxe3'], ['fxe3', 'exd5'], ['cxd5', 'O-O'], ['Qd4', 'Qe7'], ['Rb5', 'Rfe8'], ['d6', 'cxd6'], ['Nxd6', 'Nc6\n'], ['Qa1', 'Rf8'], ['Qc3', 'Nb8'], ['Rbd5', 'Qe6'], ['e4', 'Na6'], ['Nf5', 'Rxd5'], ['Rxd5', 'Kh7'], ['Rd6', 'Rc8\n'], ['Qb2', 'Qc4'], ['e6', 'f6'], ['Rd7', 'Qxe4'], ['Rxg7+', 'Kh8'], ['h3', 'Qxf5'], ['Rxa7', 'Qf4'], ['e7', 'Rc1+\n'], ['Qxc1', 'Qxc1+'], ['Kf2', 'Qf4+'], ['Kg1', 'Qe3+'], ['Kh2', 'Kg8']]",0-1
Honved,Budapest,1991.??.??,4,"Almasi, Zoltan","Loginov, Valery A",,,B93,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'e5'], ['Nf3', 'Nbd7'], ['a4', 'Be7\n'], ['Bd3', 'O-O'], ['O-O', 'Nc5'], ['Qe1', 'exf4'], ['Bxf4', 'Bg4'], ['Kh1', 'Re8'], ['Qg3', 'Bh5'], ['Be3', 'Nxd3\n'], ['cxd3', 'Bg6'], ['Bd4', 'Qd7'], ['a5', 'Nh5'], ['Qf2', 'Nf4'], ['Qd2', 'Ne6'], ['Nd5', 'Bd8'], ['Bb6', 'Qb5\n'], ['Bxd8', 'Raxd8'], ['Nh4', 'Rd7'], ['Nf5', 'Nc5'], ['Rad1', 'f6'], ['Qc3', 'Qb3'], ['Nd4', 'Qxc3'], ['bxc3', 'Rdd8\n'], ['c4', 'Bf7'], ['Nb6', 'Re5'], ['Nf3', 'Ree8'], ['h3', 'Nb3'], ['Rb1', 'Nxa5'], ['Nd5', 'Rd7'], ['Rb6', 'Nc6\n'], ['Rfb1', 'Nd8'], ['Nd4', 'Bxd5'], ['cxd5', 'g6'], ['Ne6', 'Nxe6'], ['dxe6', 'Rxe6'], ['Rxb7', 'Ree7\n'], ['R7b6', 'a5'], ['Ra1', 'Ra7'], ['Rxd6', 'Kf7'], ['Rd4', 'Re5'], ['Kg1', 'f5'], ['exf5', 'Rxf5'], ['Re4', 'Kf6\n'], ['Rae1', 'Rd5'], ['Rf4+', 'Kg7'], ['Rd1', 'h5'], ['h4', 'Rb7'], ['Rd2', 'Rb4'], ['Rxb4', 'axb4'], ['d4', 'b3\n'], ['Rb2', 'Rb5'], ['Kf2', 'Kf6'], ['Ke3', 'Ke6'], ['Kd3', 'Kd5'], ['Kc3', 'Rb7'], ['Kd3', 'Rb4'], ['Kc3', 'Rxd4\n'], ['Kxb3', 'Ke4'], ['Re2+', 'Kd3'], ['Rf2', 'Rxh4'], ['Kb2', 'Re4'], ['Kb3', 'Re2'], ['Rf3+', 'Ke4']]",0-1
Cansys IM-A,Budapest,1991.??.??,4,"Almasi, Zoltan","Palkovi, Jozsef",,,B01,"[['e4', 'd5'], ['exd5', 'Nf6'], ['d4', 'Nxd5'], ['c4', 'Nb6'], ['Nf3', 'g6'], ['h3', 'Bg7'], ['Nc3', 'O-O'], ['Be3', 'Nc6\n'], ['Qd2', 'e5'], ['d5', 'Na5'], ['b3', 'f5'], ['Bc5', 'Re8'], ['O-O-O', 'Nd7'], ['Ba3', 'c5'], ['Ng5', 'Bh6\n'], ['h4', 'b6'], ['f4', 'exf4'], ['Ne6', 'Qf6'], ['Bb2', 'Ne5'], ['Nc7', 'Bb7'], ['Kb1', 'Qf8'], ['N3b5', 'f3\n'], ['Qc3', 'Bg7'], ['Nxe8', 'Rxe8'], ['Nc7', 'Re7'], ['d6', 'Rd7'], ['Qd2', 'Be4+'], ['Ka1', 'fxg2'], ['Bxg2', 'Nd3\n'], ['Bc3', 'Bxg2'], ['Rhg1', 'Be4'], ['h5', 'Rxd6'], ['Nd5', 'Nc6'], ['hxg6', 'hxg6'], ['Qh2', 'Ncb4']]",0-1
Autoteam,Budapest,1991.??.??,4,"Mueller, Karsten","Almasi, Zoltan",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Nf6'], ['Nxc6', 'bxc6'], ['Bd3', 'd5'], ['e5', 'Ng4'], ['O-O', 'Bc5\n'], ['Qe2', 'Qe7'], ['Bf4', 'g5'], ['Bd2', 'Nxe5'], ['Re1', 'Nxd3'], ['Qxd3', 'Be6'], ['b4', 'Bb6'], ['Nc3', 'O-O\n'], ['Na4', 'f6'], ['Nc5', 'Bxc5'], ['bxc5', 'Qd7'], ['Qd4', 'Bf5'], ['Re3', 'Kf7'], ['Bc3', 'Kg8'], ['h4', 'h6\n'], ['Rae1', 'Rf7'], ['hxg5', 'hxg5'], ['Rg3', 'Kh7'], ['Rf3', 'Raf8'], ['Qd2', 'Rg8'], ['Bd4', 'Rg6'], ['Rfe3', 'Rh6\n'], ['f3', 'g4'], ['Re8', 'Rg6'], ['Qf4', 'Be4'], ['Qh2+', 'Rh6'], ['Rh8+', 'Kxh8'], ['Qxh6+', 'Bh7'], ['Bxf6+', 'Kg8\n'], ['Re5', '']]",1-0
Autoteam,Budapest,1991.??.??,5,"Almasi, Zoltan","Drasko, Milan",,,C18,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'c5'], ['a3', 'Bxc3+'], ['bxc3', 'Qa5'], ['Bd2', 'cxd4'], ['cxd4', 'Qa4\n'], ['Qg4', 'Ne7'], ['c3', 'Kf8'], ['h4', 'Nbc6'], ['Qf4', 'b6'], ['h5', 'h6'], ['Rh3', 'Ba6'], ['Nf3', 'Bxf1\n'], ['Kxf1', 'Rc8'], ['Nh4', 'Ke8'], ['Rf3', 'Kd7'], ['Qg3', 'g5'], ['hxg6', 'fxg6'], ['Rf6', 'g5'], ['Nf3', 'Rcg8\n'], ['Qg4', 'Nd8'], ['Qh5', 'g4'], ['Nh4', 'Qc2'], ['Rxh6', 'Rxh6'], ['Qxh6', 'Nf7'], ['Qe3', 'Ng5'], ['Be1', 'Qh7\n'], ['g3', 'Qh5'], ['Ke2', 'Rf8'], ['Qd3', 'Ne4'], ['c4', 'Qf7'], ['cxd5', 'exd5'], ['Rc1', 'Nxf2'], ['Qa6', '']]",1-0
Cansys IM-A,Budapest,1991.??.??,5,"Barsov, Alexei","Almasi, Zoltan",,,D93,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Bf4', 'Bg7'], ['Nf3', 'c5'], ['dxc5', 'Qa5'], ['Rc1', 'dxc4'], ['e3', 'O-O\n'], ['Bxc4', 'Qxc5'], ['Bb3', 'Nc6'], ['O-O', 'Qa5'], ['h3', 'Bf5'], ['Qe2', 'e5'], ['Bh2', 'Rfe8'], ['Rfd1', 'h6\n'], ['Qb5', 'Qc7'], ['Nd4', 'a6'], ['Qc4', 'Rac8'], ['Nxc6', 'bxc6'], ['Qxa6', 'Qe7'], ['Qe2', 'Qb4'], ['Na4', 'Ne4\n'], ['g4', 'Be6'], ['Bxe6', 'Rxe6'], ['Qc4', 'Qxc4'], ['Rxc4', 'Ng5'], ['Kg2', 'f5'], ['Rd7', 'e4'], ['Nc5', 'Ree8\n'], ['Nb7', 'Nf3'], ['gxf5', 'gxf5'], ['Bf4', 'Re6'], ['Rd6', 'Re7'], ['Rd8+', 'Rxd8'], ['Nxd8', 'Bxb2'], ['Nxc6', 'Rg7+\n'], ['Bg3', 'h5'], ['h4', 'Nxh4+'], ['Kh3', 'Nf3'], ['Nd4', 'Bxd4'], ['exd4', 'Rg4'], ['Rc8+', 'Kf7'], ['Rc5', 'Kg6\n'], ['Rc6+', 'Kg5'], ['Rc8', 'Nxd4'], ['Rg8+', 'Kh6'], ['Rh8+', 'Kg6'], ['Rg8+', 'Kf7'], ['Rxg4', 'fxg4+\n'], ['Kg2', 'Ke6'], ['a4', 'Kd5'], ['Bc7', 'Kc6'], ['Bd8', 'Nf5'], ['a5', 'Kb5'], ['Kh2', 'h4'], ['Bxh4', 'Kxa5\n'], ['Bd8+', 'Kb4'], ['Bb6', 'Kc3'], ['Kg2', 'Kd3'], ['Ba7', 'Ke2'], ['Bc5', '']]",1/2-1/2
Spring op,Budapest,1991.??.??,6,"Stavru, Alessandro","Almasi, Zoltan",,,C54,"[['e4', 'e5'], ['Bc4', 'Nf6'], ['d3', 'Bc5'], ['Nf3', 'Nc6'], ['O-O', 'd6'], ['c3', 'O-O'], ['Bb3', 'a6'], ['Nbd2', 'Ba7\n'], ['h3', 'Ne7'], ['d4', 'Ng6'], ['Re1', 'Re8'], ['Bc2', 'Bd7'], ['Nf1', 'Nh5'], ['Nxe5', 'dxe5'], ['Qxh5', 'exd4\n'], ['e5', 'Bc6'], ['Bg5', 'Qd5'], ['Be4', 'Qe6'], ['Ng3', 'dxc3'], ['bxc3', 'Bxe4'], ['Rxe4', 'Nxe5'], ['Rae1', 'f6\n'], ['Bf4', 'Qxa2'], ['R4e2', 'Qf7'], ['Bxe5', 'Qxh5'], ['Nxh5', 'Rxe5'], ['Rxe5', 'fxe5'], ['Rxe5', 'Rf8\n'], ['Re7', 'g6'], ['Ng3', 'Bxf2+'], ['Kh2', 'Bxg3+'], ['Kxg3', 'Rf7'], ['Re8+', 'Kg7'], ['Rb8', 'b6'], ['c4', 'Rf5']]",0-1
