Burevestnik-ch sf,Moscow,1965.??.??,?,"Volovich, Anatoly A","Gulko, Boris F",,,A09,"[['Nf3', 'd5'], ['g3', 'Nc6'], ['c4', 'd4'], ['d3', 'e5'], ['Bg2', 'Bg4'], ['h3', 'Bf5'], ['O-O', 'Qd7'], ['Kh2', 'Nf6\n'], ['Na3', 'Be7'], ['Nc2', 'a5'], ['b3', 'O-O'], ['a3', 'h6'], ['Bd2', 'e4'], ['Nfe1', 'Rfd8'], ['dxe4', 'Bxe4\n'], ['f3', 'Bh7'], ['Nd3', 'Bd6'], ['Be1', 'Re8'], ['Bf2', 'Qe7'], ['Re1', 'Rad8'], ['Qd2', 'h5'], ['Kg1', 'h4\n'], ['g4', 'Bg3'], ['Bxg3', 'hxg3'], ['Qf4', 'a4'], ['bxa4', 'Na5'], ['Qxg3', 'Nxc4'], ['g5', 'Nd5'], ['f4', 'Nc3\n'], ['Bf3', 'Ne3'], ['Nxe3', 'Qxe3+'], ['Qf2', 'Bxd3'], ['exd3', 'Qxd3'], ['Bxb7', 'Re3'], ['Bg2', 'Rde8\n'], ['a5', 'Qb5'], ['f5', 'Qxa5'], ['g6', 'Qe5'], ['gxf7+', 'Kxf7'], ['Rxe3', 'Qxe3'], ['Qxe3', 'Rxe3'], ['Kf2', 'Re5\n'], ['Bf1', 'Rxf5+'], ['Ke1', 'Ke6'], ['a4', 'Ra5'], ['Bc4+', 'Kd6'], ['Bb3', 'Kc5'], ['Kd2', 'Kb4'], ['Bc2', 'Re5\n'], ['Rf1', 'Re2+'], ['Kd3', 'c5'], ['Rf7', 'c4+'], ['Kxd4', 'Rd2+'], ['Ke5', '']]",0-1
Tallinn,Tallinn,1977.??.??,2,"Vadasz, Laszlo","Gulko, Boris F",,,B38,"[['Nf3', 'c5'], ['c4', 'g6'], ['e4', 'Bg7'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Be3', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'Bd7\n'], ['O-O', 'O-O'], ['Qd2', 'Nxd4'], ['Bxd4', 'Bc6'], ['f3', 'Nd7'], ['Be3', 'a5'], ['b3', 'Nc5'], ['Rac1', 'b6\n'], ['Bd1', 'Qc7'], ['Rb1', 'e6'], ['a3', 'Rfd8'], ['b4', 'axb4'], ['axb4', 'Ra3'], ['Rc1', 'Nd7'], ['Be2', 'Qb8\n'], ['Rfd1', 'Be5'], ['Bd4', 'Ba4'], ['Nxa4', 'Rxa4'], ['f4', 'Bxf4'], ['Qxf4', 'e5'], ['Qg3', 'exd4'], ['Rxd4', 'Ne5\n'], ['Rcd1', 'Qc7'], ['Qb3', 'Qc6'], ['b5', 'Qa8'], ['Rxd6', 'Rxd6'], ['Rxd6', 'Ra1+'], ['Rd1', 'Rxd1+'], ['Qxd1', 'Qxe4\n'], ['h3', 'Kg7'], ['Qf1', 'h5'], ['Kh1', 'Qe3'], ['Bf3', 'Nxf3'], ['Qxf3', 'Qc1+'], ['Kh2', 'Qxc4'], ['Qc6', 'Qd4\n'], ['Qe8', 'g5'], ['Qe2', 'f6'], ['Qe7+', 'Kg6'], ['Qe8+', 'Kf5'], ['Qxh5', 'Qe5+'], ['Kh1', 'Qxb5'], ['Qh7+', 'Ke6\n'], ['Qg8+', 'Ke5'], ['Qb8+', 'Ke4'], ['Qb7+', 'Kd4'], ['Qf3', 'Qb1+'], ['Kh2', 'Qe4'], ['Qf2+', 'Qe3'], ['Qb2+', 'Kd5\n'], ['g3', 'Qd4'], ['Qe2', 'Kc5'], ['Qe7+', 'Kc4'], ['Qe2+', 'Kb4'], ['h4', 'gxh4'], ['Qe1+', 'Ka4'], ['gxh4', 'b5\n'], ['h5', 'b4'], ['Qe8+', 'Kb3'], ['Qe6+', 'Kb2'], ['Qe2+', 'Ka3'], ['Qa6+', 'Kb3'], ['Qe6+', 'Kc3'], ['Qe1+', 'Kc4\n'], ['Qe6+', 'Kc5'], ['Qc8+', '']]",1/2-1/2
Tallinn,Tallinn,1977.??.??,3,"Gulko, Boris F","Unzicker, Wolfgang",,,C91,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['d4', 'Bg4'], ['Be3', 'exd4'], ['cxd4', 'Na5'], ['Bc2', 'Nc4'], ['Bc1', 'c5'], ['b3', 'Na5'], ['d5', 'Nd7\n'], ['Nbd2', 'Bf6'], ['Rb1', 'Bc3'], ['h3', 'Bh5'], ['g4', 'Bg6'], ['Re3', 'b4'], ['Nf1', 'c4'], ['Ng3', 'Bf6\n'], ['Re2', 'cxb3'], ['axb3', 'h6'], ['Nd4', 'Rc8'], ['Ngf5', 'Nc5'], ['Bf4', 'Be5'], ['Be3', 'Re8'], ['f4', 'Bf6\n'], ['Bf2', 'Nab7'], ['e5', 'dxe5'], ['fxe5', 'Bg5'], ['h4', 'Qxd5'], ['hxg5', 'hxg5'], ['Qe1', '']]",1-0
Tallinn,Tallinn,1977.??.??,4,"Gulko, Boris F","Ornstein, Axel",,,A40,"[['c4', 'b6'], ['d4', 'Bb7'], ['d5', 'e6'], ['e4', 'Nf6'], ['Bd3', 'b5'], ['cxb5', 'exd5'], ['exd5', 'Bxd5'], ['Nf3', 'Bb4+\n'], ['Nc3', 'Qe7+'], ['Be3', 'Ng4'], ['O-O', 'Nxe3'], ['fxe3', 'Qxe3+'], ['Kh1', 'Be6'], ['Qc2', 'c6'], ['Ne4', 'O-O\n'], ['Neg5', 'g6'], ['a3', 'Be7'], ['Nxe6', 'fxe6'], ['Bxg6', 'Qh6'], ['Bd3', 'cxb5'], ['Bxb5', 'a6'], ['Ba4', 'Ra7\n'], ['Ne5', 'Bd6'], ['Qe2', 'Rc7'], ['Rad1', 'Rxf1+'], ['Rxf1', 'Rc1'], ['Qg4+', 'Qg7'], ['Rxc1', 'Bxe5\n'], ['Qh5', '']]",1-0
Tallinn,Tallinn,1977.??.??,5,"Poutiainen, Pertti","Gulko, Boris F",,,A39,"[['c4', 'g6'], ['d4', 'Nf6'], ['Nf3', 'Bg7'], ['g3', 'c5'], ['Bg2', 'O-O'], ['O-O', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'Nxd4\n'], ['Qxd4', 'd6'], ['Qd3', 'Qa5'], ['Nb5', 'Ng4'], ['Bd2', 'Qd8'], ['Qc2', 'Bf5'], ['e4', 'Be6'], ['h3', 'Ne5\n'], ['b3', 'Qc8'], ['Kh2', 'a6'], ['Nc3', 'b5'], ['cxb5', 'axb5'], ['Rac1', 'Qa6'], ['Bg5', 'h6'], ['Be3', 'Rfc8\n'], ['Qe2', 'Rxc3'], ['Rxc3', 'Ng4+'], ['hxg4', 'Bxc3'], ['Rc1', 'b4'], ['Qxa6', 'Rxa6'], ['Rc2', 'Bxg4\n'], ['f3', 'Bd7'], ['Bd2', 'Bb5'], ['Bxc3', 'Rc6'], ['Kg1', 'Bd3'], ['Rc1', 'Rxc3'], ['Ra1', 'g5'], ['g4', 'Kg7\n'], ['Kf2', 'Rc2+'], ['Ke3', 'Bb5'], ['Bf1', 'Rc3+'], ['Kd2', 'Bc6'], ['Bd3', 'd5'], ['Rb1', 'Kf6'], ['Rh1', 'Ke5\n'], ['Rxh6', 'Kd4'], ['Bc2', 'f6'], ['Rh7', 'dxe4'], ['Bxe4', 'Bxe4'], ['fxe4', 'Rc7'], ['Rh8', 'Ra7'], ['Rd8+', 'Kxe4\n'], ['Rb8', 'Rxa2+'], ['Kc1', 'Kd3'], ['Kb1', 'Rg2'], ['Rxb4', 'Kc3']]",0-1
Tallinn,Tallinn,1977.??.??,6,"Gulko, Boris F","Pohla, Harry",,,B20,"[['e4', 'c5'], ['b4', 'cxb4'], ['a3', 'd5'], ['exd5', 'Qxd5'], ['Bb2', 'e5'], ['axb4', 'Bxb4'], ['Na3', 'Nc6'], ['Nb5', 'Qd8\n'], ['Nf3', 'Nf6'], ['Be2', 'O-O'], ['O-O', 'Re8'], ['d4', 'exd4'], ['Nfxd4', 'Bd7'], ['Nxc6', 'bxc6'], ['Bf3', 'Be7\n'], ['Nd6', 'Rf8'], ['Be5', 'Qb6'], ['Rb1', 'Qd8'], ['Qd4', 'Bxd6'], ['Bxd6', 'Bf5'], ['Qf4', 'Bxc2'], ['Rbc1', 'Bd3\n'], ['Rfd1', 'Bb5'], ['Bxf8', 'Qxf8'], ['Bxc6', 'Bxc6'], ['Rxc6', 'a5'], ['Qf5', 'Re8'], ['Rdc1', 'Qe7'], ['Qxa5', 'Qd7\n'], ['h3', 'h6'], ['Qc3', 'Nd5'], ['Qd4', 'Nf6'], ['Qxd7', 'Nxd7'], ['Rc8', 'Kf8'], ['Kh2', 'g6'], ['Kg3', 'Rxc8\n'], ['Rxc8+', 'Kg7'], ['Kf4', 'Nf8'], ['Ke5', 'Nd7+'], ['Kd6', 'Nf6'], ['f3', 'Nh5'], ['Ke5', 'g5'], ['Rc4', 'Nf6\n'], ['g4', 'Nd7+'], ['Kf5', 'Nf6'], ['Rd4', 'Ng8'], ['Rd7', 'Nf6'], ['Rd1', 'Ng8'], ['Re1', 'Nf6'], ['h4', 'gxh4\n'], ['Rh1', 'Nd5'], ['Rxh4', 'Ne7+'], ['Ke4', 'Kg6'], ['Rh1', 'Ng8'], ['Ra1', 'Nf6+'], ['Ke5', 'Nd7+'], ['Kf4', 'Nc5\n'], ['Ra5', 'Nd7'], ['Ra6+', 'Kg7'], ['Kg3', 'Nf8'], ['f4', 'Ne6'], ['Rb6', 'Nf8'], ['f5', 'Nh7'], ['Kh4', 'Nf6\n'], ['g5', 'hxg5+'], ['Kxg5', 'Ne4+'], ['Kf4', 'Nf6'], ['Ra6', 'Nh7'], ['Ke5', 'Nf8'], ['Rd6', 'Nh7'], ['f6+', 'Kg6\n'], ['Rd8', 'Nxf6'], ['Rd6', '']]",1-0
Tallinn,Tallinn,1977.??.??,7,"Bronstein, David I","Gulko, Boris F",,,E17,"[['Nf3', 'Nf6'], ['c4', 'b6'], ['g3', 'Bb7'], ['Bg2', 'e6'], ['d4', 'Be7'], ['Nc3', 'Ne4'], ['Qc2', 'Nxc3'], ['Qxc3', 'O-O\n'], ['Qc2', 'Nc6'], ['O-O', 'Nb4'], ['Qd2', 'c5'], ['b3', 'Bf6'], ['Bb2', 'Qe7'], ['Rad1', 'Rfd8'], ['a3', 'Na6\n'], ['d5', 'd6'], ['Bxf6', 'Qxf6'], ['Ng5', 'exd5'], ['Bxd5', 'Bxd5'], ['Qxd5', 'Nc7'], ['Qb7', 'Qxg5'], ['Qxc7', 'Qg4\n'], ['Rfe1', 'Qd7'], ['Qxd7', 'Rxd7'], ['e4', 'Kf8'], ['f3', 'Ke7'], ['Rd5', 'f6'], ['Red1', 'Rb8'], ['f4', 'Rbb7\n'], ['Kg2', 'a6'], ['h4', 'Ke6'], ['Kf3', 'b5'], ['R1d3', 'bxc4'], ['bxc4', 'Rb2'], ['e5', 'fxe5'], ['fxe5', 'Rc2\n'], ['Rxd6+', 'Rxd6'], ['exd6', 'Kd7'], ['Ke4', 'Rxc4+'], ['Ke5', 'Rd4'], ['Rxd4', 'cxd4'], ['Kxd4', 'Kxd6\n'], ['g4', 'Kc6'], ['Ke5', 'Kb5'], ['Ke6', 'Ka4'], ['Kf7', 'Kxa3'], ['Kxg7', 'a5'], ['Kxh7', 'a4'], ['g5', 'Kb4\n'], ['g6', 'a3'], ['g7', 'a2'], ['g8=Q', 'a1=Q'], ['Qf8+', 'Kb3'], ['Qf7+', 'Kb4'], ['Qe7+', 'Kb3'], ['Qe3+', 'Kc2\n'], ['Qe2+', 'Kb3'], ['Qb5+', 'Kc2'], ['Qc5+', 'Kb3'], ['Kg6', 'Qa6+'], ['Kf5', 'Qa8'], ['Qb5+', 'Ka2'], ['Qe2+', 'Ka1\n'], ['Qd1+', 'Ka2'], ['Qc2+', 'Ka1'], ['Qc1+', 'Ka2'], ['Qc4+', 'Ka1'], ['Kf4', 'Qf8+'], ['Ke3', 'Qh6+'], ['Ke2', 'Qh5+\n'], ['Kd2', 'Qh6+'], ['Ke2', 'Qh5+'], ['Ke3', 'Qe5+'], ['Kf3', 'Qf5+'], ['Kg3', 'Qg6+'], ['Qg4', 'Qd3+'], ['Qf3', 'Qd6+\n'], ['Kh3', 'Qd7+'], ['Kg2', 'Qd2+'], ['Kg1', 'Qd4+'], ['Qf2', 'Qe5'], ['Kf1', 'Qb5+'], ['Qe2', 'Qf5+'], ['Ke1', 'Qa5+\n'], ['Kf1', 'Qf5+'], ['Kg1', 'Qc5+'], ['Kh2', 'Qc7+'], ['Kg2', 'Qc6+'], ['Qf3', 'Qc2+'], ['Kh3', 'Qc8+'], ['Kh2', 'Qc7+\n'], ['Qg3', 'Qc2+'], ['Qg2', 'Qf5'], ['Qg1+', 'Ka2'], ['Qg5', 'Qd3'], ['h5', 'Qd6+'], ['Qg3', 'Qh6'], ['Qe5', 'Kb1\n'], ['Kg3', 'Ka2'], ['Kf2', 'Kb1'], ['Kf3', 'Ka2'], ['Qe2+', 'Ka1'], ['Qd1+', 'Ka2'], ['Qd5+', 'Kb1\n'], ['Ke2', 'Qg7'], ['Kd3', 'Qg3+'], ['Kc4', 'Qf4+'], ['Kc3', 'Qc7+'], ['Qc4', 'Qe5+'], ['Qd4', 'Qc7+\n'], ['Kb3', 'Qf7+']]",1/2-1/2
Tallinn,Tallinn,1977.??.??,8,"Gulko, Boris F","Pribyl, Josef",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Nge2', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'Nc6'], ['O-O', 'e5'], ['d5', 'Ne7\n'], ['f4', 'Ne8'], ['Kh1', 'Bd7'], ['Be3', 'Qc8'], ['Qd3', 'f5'], ['fxe5', 'dxe5'], ['Bg5', 'Rf7'], ['exf5', 'gxf5\n'], ['g4', 'Nd6'], ['gxf5', 'Bxf5'], ['Ne4', 'Ng6'], ['Qe3', 'Qf8'], ['N2g3', 'Nf4'], ['Nxd6', 'Nxg2'], ['Kxg2', 'cxd6\n'], ['Be7', 'Qc8'], ['Nxf5', 'Rxf5'], ['Qe4', 'Rh5'], ['Kh1', 'Rh6'], ['Rf5', 'Qd7'], ['Bg5', 'Rg6'], ['Raf1', 'Rf8\n'], ['Rxf8+', 'Bxf8'], ['Be3', 'a6'], ['c4', 'Bg7'], ['b3', 'Rg4'], ['Qf5', 'Qxf5'], ['Rxf5', 'Bf8'], ['Rf3', 'e4\n'], ['Rf4', 'Rxf4'], ['Bxf4', 'Kf7'], ['Kg2', 'Kf6'], ['Kf2', 'Kf5'], ['Ke3', 'Be7'], ['b4', 'Bf8'], ['a4', 'h6\n'], ['Bg3', 'h5'], ['Bf4', 'Be7'], ['c5', 'dxc5'], ['d6', 'Bf6'], ['bxc5', 'Bc3'], ['Bg3', 'Bf6'], ['Be1', 'Bd8\n'], ['Kd4', 'Ke6'], ['Kxe4', 'b6'], ['Kd4', 'Kd7'], ['Bb4', 'Kc6'], ['cxb6', 'Bxb6+'], ['Ke5', 'Bg1'], ['h3', 'Kd7\n'], ['Kf5', 'Bf2'], ['Kg5', 'h4'], ['Kg4', 'Bg3'], ['Bd2', 'Kxd6'], ['Bg5', 'Ke6'], ['Bxh4', 'Be5'], ['Bd8', 'Bc3\n'], ['h4', 'Be1'], ['h5', 'Bd2'], ['Bg5', 'Bc3'], ['Be3', 'Bf6'], ['Kf4', 'Bg7'], ['Kg5', 'Kf7'], ['Kf5', 'Bf8\n'], ['Ke5', 'Bb4'], ['Kd5', 'Kg7'], ['Kc6', 'Kh7'], ['Kb6', 'a5'], ['Kb5', 'Be1'], ['Bb6', 'Kh6'], ['Bxa5', 'Bf2\n'], ['Bb4', 'Kxh5'], ['a5', 'Kg6'], ['a6', '']]",1-0
Tallinn,Tallinn,1977.??.??,9,"Nei, Iivo","Gulko, Boris F",,,D94,"[['c4', 'g6'], ['Nc3', 'c5'], ['Nf3', 'Bg7'], ['e3', 'Nf6'], ['d4', 'O-O'], ['Be2', 'cxd4'], ['exd4', 'd5'], ['O-O', 'Nc6\n'], ['Bf4', 'Bf5'], ['Rc1', 'Rc8'], ['c5', 'Ne4'], ['a3', 'Bg4'], ['Na4', 'Bxf3'], ['gxf3', 'Nf6'], ['Be3', 'Ne8\n'], ['b4', 'e5'], ['dxe5', 'd4'], ['Bf4', 'Nc7'], ['Bg3', 'Nxe5'], ['f4', 'Nc6'], ['f5', 'Re8'], ['Bg4', 'Ra8\n'], ['Nb2', 'Nb5'], ['Nc4', 'Ne5'], ['Nxe5', 'Bxe5'], ['Qd3', 'Nc3'], ['Rce1', 'Qg5'], ['f4', 'Qxg4'], ['fxe5', 'gxf5\n'], ['Rxf5', 'Rad8'], ['Kh1', 'Re6'], ['Rg1', 'Rg6'], ['Rf4', 'Qd7'], ['Rgf1', 'Qd5+'], ['Kg1', 'Qxe5'], ['Rxf7', 'Qe3+\n'], ['Qxe3', 'dxe3'], ['Re7', 'e2'], ['Re1', 'Rd1'], ['Kf2', 'Rf6+'], ['Kg2', 'Rxe1'], ['Bxe1', 'Rg6+'], ['Kf3', 'Rf6+\n'], ['Kg2', 'Rg6+'], ['Bg3', 'h5'], ['Kf2', 'Rg4'], ['Kf3', 'Kf8'], ['Bd6', 'Kg8'], ['Bg3', 'Kf8'], ['Re3', 'Rg6\n'], ['Be5', 'Nd5'], ['Rxe2', 'Kf7'], ['Bb2', 'Rg1'], ['Ke4', 'Rd1'], ['Ke5', 'Nf6'], ['Rf2', 'Rd5+'], ['Kf4', 'Ng4\n'], ['Ke4+', 'Ke6'], ['Re2', 'Rf5'], ['Bd4', 'Rf1'], ['h3', 'Nf6+'], ['Kd3+', 'Kd7'], ['Rf2', 'Rd1+'], ['Rd2', 'Rxd2+\n'], ['Kxd2', 'Nd5'], ['Kd3', 'Nf4+'], ['Ke4', 'Nxh3'], ['Be3', 'Ke6'], ['b5', 'h4'], ['a4', 'a5'], ['b6', 'Kd7\n'], ['Kd5', 'Kd8'], ['c6', 'Kc8'], ['Kd6', 'Kb8'], ['Kd7', '']]",1-0
Tallinn,Tallinn,1977.??.??,10,"Gulko, Boris F","Velimirovic, Dragoljub",,,C85,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Bxc6', 'dxc6'], ['d3', 'Bg4'], ['Nbd2', 'Nd7\n'], ['Nc4', 'Bd6'], ['Ne3', 'Bh5'], ['h3', 'Bg6'], ['Bd2', 'Qe7'], ['Re1', 'O-O-O'], ['Rb1', 'Rdf8'], ['b4', 'f5\n'], ['exf5', 'Bxf5'], ['Nxf5', 'Rxf5'], ['c4', 'Qf6'], ['Be3', 'c5'], ['Nd2', 'cxb4'], ['Ne4', 'Qe7'], ['a3', 'Rhf8\n'], ['Qa4', 'Nc5'], ['Qxb4', 'b6'], ['Nxc5', 'Bxc5'], ['Bxc5', 'Qxc5'], ['Qxc5', 'bxc5'], ['f3', 'Rd8'], ['Rb3', 'h5\n'], ['Kf2', 'Rd4'], ['Re4', 'h4'], ['Ke3', 'Rxe4+'], ['Kxe4', 'Rg5'], ['Rb2', 'Kd7'], ['Kd5', 'c6+'], ['Kxc5', 'e4+\n'], ['Kd4', 'exf3'], ['gxf3', 'Rg3'], ['Rb7+', 'Kc8'], ['Rf7', 'Rxh3'], ['Rxg7', 'Rxf3'], ['Rh7', 'h3'], ['Kc5', 'Rxd3\n'], ['Kxc6', 'Kb8'], ['a4', 'Rg3'], ['Rh6', 'a5'], ['Rh8+', 'Ka7'], ['Rh7+', 'Ka6'], ['c5', 'h2'], ['Rxh2', 'Rg6+\n'], ['Kd7', 'Rg7+'], ['Kd8', 'Rg8+'], ['Ke7', 'Rg7+'], ['Kf6', 'Rc7'], ['Rc2', 'Kb7'], ['Rb2+', 'Kc6'], ['Rb5', 'Rd7\n'], ['Ke6', 'Rh7'], ['Rxa5', 'Rh6+'], ['Ke5', 'Rh5+'], ['Kd4', 'Rh4+'], ['Ke3', 'Rh3+']]",1/2-1/2
Tallinn,Tallinn,1977.??.??,11,"Romanishin, Oleg M","Gulko, Boris F",,,A10,"[['c4', 'g6'], ['e4', 'e5'], ['d4', 'Nf6'], ['Nf3', 'exd4'], ['e5', 'Bb4+'], ['Bd2', 'Qe7'], ['Bxb4', 'Qxb4+'], ['Qd2', 'Qxd2+\n'], ['Nbxd2', 'Nh5'], ['Nxd4', 'Nc6'], ['Nxc6', 'dxc6'], ['g3', 'O-O'], ['Be2', 'f6'], ['Bxh5', 'gxh5'], ['exf6', 'Re8+\n'], ['Kd1', 'Bf5'], ['Re1', 'Kf7'], ['Rc1', 'Rxe1+'], ['Kxe1', 'Re8+'], ['Kd1', 'Bd3'], ['Nb3', 'Kxf6'], ['Kd2', 'Rd8\n'], ['Ke3', 'Bg6'], ['Rc3', 'Rd1'], ['Na5', 'Rb1'], ['b3', 'Re1+'], ['Kd2', 'Ra1'], ['a4', 'b5'], ['cxb5', 'cxb5\n'], ['Rc6+', 'Ke5'], ['Rxc7', 'bxa4'], ['bxa4', 'Rxa4'], ['Rxa7', 'Ra2+'], ['Ke3', 'Ra3+'], ['Ke2', 'Ra2+\n'], ['Ke3', 'Ra3+'], ['Ke2', '']]",1/2-1/2
Tallinn,Tallinn,1977.??.??,12,"Gulko, Boris F","Karner, Hillar",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['Nbd2', 'c5'], ['e4', 'cxd4'], ['e5', 'Ng8'], ['Bg2', 'Nc6\n'], ['O-O', 'Rb8'], ['Re1', 'Bb4'], ['a3', 'Bxd2'], ['Nxd2', 'Nge7'], ['b4', 'Bb7'], ['Ne4', 'O-O'], ['Nd6', 'Ba8\n'], ['b5', 'Na5'], ['Bxa8', 'Rxa8'], ['Bd2', 'Nc8'], ['Bxa5', 'bxa5'], ['Qxd4', 'Nxd6'], ['Qxd6', 'Qb6'], ['Red1', 'Rfc8\n'], ['Rac1', 'Qxd6'], ['Rxd6', 'Rc7'], ['Ra6', 'Rb8'], ['Rxa5', 'f6'], ['f4', 'Kf7'], ['Kf2', 'Kg6'], ['exf6', 'gxf6\n'], ['Ra6', 'Rb6'], ['Rxb6', 'axb6'], ['c5', 'bxc5'], ['a4', 'd5'], ['b6', 'Rb7'], ['a5', 'c4'], ['Ke2', 'e5\n'], ['Rb1', 'c3'], ['Kd3', 'd4'], ['a6', 'e4+'], ['Kc2', '']]",1-0
Tallinn,Tallinn,1977.??.??,13,"Gipslis, Aivars","Gulko, Boris F",,,C64,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Bc5'], ['O-O', 'Qf6'], ['d3', 'Nd4'], ['Nxd4', 'Bxd4'], ['Nd2', 'c6'], ['Ba4', 'd6\n'], ['c3', 'Bb6'], ['Nc4', 'g5'], ['Nxb6', 'axb6'], ['Be3', 'b5'], ['Bb3', 'Ne7'], ['d4', 'Ng6'], ['dxe5', 'dxe5\n'], ['Bc5', 'Nf4'], ['g3', 'Ng6'], ['Qh5', 'Nf8'], ['Rfd1', 'Ne6'], ['Bd6', 'Ng7'], ['Qe2', 'h5'], ['Qe3', 'Bh3\n'], ['a4', 'bxa4'], ['Rxa4', 'Rd8'], ['Ra5', 'Ne6'], ['f3', 'Rd7'], ['Bxe6', 'fxe6'], ['Ra8+', 'Kf7'], ['Rxh8', 'Qxh8\n'], ['Qxg5', 'h4'], ['g4', 'Rd8'], ['Qe7+', '']]",1-0
Tallinn,Tallinn,1977.??.??,14,"Gulko, Boris F","Uhlmann, Wolfgang",,,D93,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Bf4', 'Bg7'], ['e3', 'c5'], ['dxc5', 'Qa5'], ['Rc1', 'dxc4'], ['Bxc4', 'O-O\n'], ['Nf3', 'Qxc5'], ['Bb3', 'Nc6'], ['O-O', 'Qa5'], ['h3', 'Bf5'], ['Nd4', 'Bd7'], ['Qe2', 'e5'], ['Nxc6', 'Bxc6\n'], ['Bg5', 'e4'], ['Bh4', 'Rad8'], ['Qc4', 'Rd7'], ['Rfd1', 'Rfd8'], ['Rd4', 'g5'], ['Bg3', 'Nh5'], ['Rxd7', 'Rxd7\n'], ['Bb8', 'Nf6'], ['Rd1', 'Rxd1+'], ['Nxd1', 'Qd5'], ['Bxa7', 'Qxc4'], ['Bxc4', 'Nd7'], ['Bd4', 'Ne5'], ['Be2', 'f5\n'], ['Nc3', 'Nd3'], ['Bxg7', 'Kxg7'], ['b3', 'Kf6'], ['f3', 'Nc1'], ['Bd1', 'exf3'], ['Bxf3', 'Bxf3'], ['gxf3', 'Ke5\n'], ['Kf2', 'h5'], ['Ke1', 'Nd3+'], ['Ke2', 'Nb4'], ['a3', 'Nc2'], ['a4', 'f4'], ['exf4+', 'gxf4'], ['Kf2', 'Nb4\n'], ['Ne4', 'Nd3+'], ['Kf1', 'h4'], ['b4', 'Kd5'], ['b5', 'b6'], ['Ke2', 'Nc5']]",1/2-1/2
Tallinn,Tallinn,1977.??.??,15,"Heuer, Valter","Gulko, Boris F",,,C15,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['Bd3', 'dxe4'], ['Bxe4', 'Nf6'], ['Bg5', 'Nbd7'], ['Qf3', 'c5'], ['dxc5', 'Bxc3+\n'], ['bxc3', 'Qc7'], ['Ne2', 'Nxe4'], ['Qxe4', 'Nxc5'], ['Qe3', 'f6'], ['Bh4', 'O-O'], ['Bg3', 'e5'], ['f4', 'Bf5\n'], ['fxe5', 'fxe5'], ['O-O', 'Rae8'], ['Nd4', 'Bg6'], ['Rxf8+', 'Kxf8'], ['Nf3', 'Kg8'], ['Bxe5', 'Nd7\n'], ['Bxc7', 'Rxe3'], ['Rd1', 'Bf5'], ['Rd5', 'Rxc3'], ['Bf4', 'Rc5'], ['Rd6', 'Kf7'], ['Be3', 'Ra5'], ['Nd4', 'Ke7\n'], ['Nxf5+', 'Rxf5'], ['Rd3', 'Ra5'], ['a3', 'Nc5'], ['Bg5+', 'Kf7'], ['Rf3+', 'Kg6'], ['Bd2', 'Ra4'], ['Bb4', 'Ne4\n'], ['Re3', 'Kf5'], ['Rf3+', 'Kg6'], ['Re3', 'Kf5'], ['Rf3+', 'Ke6'], ['Rf8', 'Ra6'], ['Re8+', 'Kf5'], ['Re7', 'Rc6\n'], ['Rxg7', 'Rxc2'], ['h4', 'h5'], ['Rxb7', 'a6'], ['Rf7+', 'Kg4'], ['Rg7+', 'Kf5'], ['Ra7', 'Nf6'], ['Kh2', 'Re2\n'], ['Rf7', 'Kg6'], ['Ra7', 'Kf5'], ['Rf7', 'Kg6'], ['Rc7', 'Kf5'], ['Rc5+', 'Kf4'], ['Rc4+', 'Kf5'], ['Kg3', 'Re3+\n'], ['Kf2', 'Rb3'], ['Rc5+', 'Kf4'], ['Ke2', 'Ne4'], ['Ra5', 'Re3+'], ['Kd1', 'Rg3'], ['Rxh5', 'Rxg2'], ['Ra5', 'Rh2\n'], ['Be1', 'Ke3'], ['Rxa6', 'Rh1'], ['Re6', 'Kd3'], ['Re8', 'Nc3+'], ['Kc1', 'Ne2+']]",1/2-1/2
